file,case,seed,alpha,s_ratio,chi,ari_floor,Q,Q_sd,dQ_null,ARI,edge_jac,n_cl,lcf,sigv2
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.6666666666666666,1.0,0.6540841238630268,0.8505416901205911,0.0035983961516223486,0.3191859271524776,0.4739263044489556,0.38028793950413264,26.15686274509804,0.8325686274509804,3.803306371984486e-08
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed4.npz,bidisperse,4,0.005,0.6666666666666666,1.0,0.6467502208624764,0.8500932589862508,0.006380588214947567,0.3236846052985012,0.4774516292631478,0.3716863044043686,21.372549019607842,0.845,3.2444612044986223e-08
bidisperse_a0.005_sr0.667_x1_N1000_L12_T100000_seed5.npz,bidisperse,5,0.005,0.6666666666666666,1.0,0.6060156472919365,0.8516242830877383,0.008384548317903731,0.32907194037834353,0.4895978628812676,0.3608649547536035,20.980392156862745,0.8362156862745098,3.2795441959862085e-08
bidisperse_a0.005_sr0.800_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,0.8,1.0,0.613620527725777,0.8738780231483592,0.00890532421267122,0.31287023452764506,0.5114349991627333,0.4245385089664657,15.647058823529411,0.8823137254901963,1.5815311922664046e-08
bidisperse_a0.005_sr0.800_N1000_L12_T100000_seed2.npz,bidisperse,2,0.005,0.8,1.0,0.6562053501694687,0.8511298507517531,0.005177560324344849,0.3133977928817191,0.46130781823590966,0.37076313962964946,18.176470588235293,0.8883137254901962,1.623235508298305e-08
bidisperse_a0.005_sr0.800_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,0.8,1.0,0.6411518535357276,0.8608236190715314,0.006730184426043212,0.3166116589555772,0.47226512433928974,0.38455895786179617,13.137254901960784,0.9282549019607845,1.2795769362161033e-08
bidisperse_a0.005_sr1.000_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,1.0,1.0,0.7556473320163134,0.8809516290429457,0.006535661136617781,0.3366835608222257,0.507436718797926,0.3981790715815744,7.921568627450981,0.9419803921568627,4.745909117430652e-09
bidisperse_a0.005_sr1.000_N1000_L12_T100000_seed2.npz,bidisperse,2,0.005,1.0,1.0,0.7926548922488341,0.876495669859773,0.0046695774559354555,0.34254129586042037,0.5419614135492623,0.3735553077189846,8.313725490196079,0.9284901960784314,4.395089896199532e-09
bidisperse_a0.005_sr1.000_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,1.0,1.0,0.8930938735834163,0.8822483408547341,0.004107098472340871,0.34015253951155433,0.5157641687037643,0.38903595647751527,6.313725490196078,0.9465098039215686,3.999441765411397e-09
bidisperse_a0.005_sr1.250_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,1.25,1.0,0.37512100184804376,0.7958081963597885,0.0018640735698314509,0.355329092864678,0.4494339777379007,0.02294963605470016,1.0,1.0,4.972523571597986e-11
bidisperse_a0.005_sr1.250_N1000_L12_T100000_seed2.npz,bidisperse,2,0.005,1.25,1.0,0.45013923743571616,0.7969858111687147,0.0023452662047258855,0.3577100139449093,0.4610285472283887,0.02916592370867403,1.0,1.0,5.926430114956836e-11
bidisperse_a0.005_sr1.250_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,1.25,1.0,0.43487929150401494,0.7951276903260998,0.0022696472713979216,0.3577369860294476,0.4397371902093052,0.021382236371863397,1.0,1.0,6.297876314272407e-11
bidisperse_a0.005_sr1.500_N1000_L12_T100000_seed1.npz,bidisperse,1,0.005,1.5,1.0,0.3395573408227567,0.771568016682562,0.0023016137287105395,0.3794162556705503,0.40203562032896156,0.0006754519811006083,1.0,1.0,9.390504925443806e-12
bidisperse_a0.005_sr1.500_N1000_L12_T100000_seed2.npz,bidisperse,2,0.005,1.5,1.0,0.3540797634956431,0.7713893212969013,0.0018777817647975606,0.3785468748701966,0.4163579668479794,0.0005378257551902681,1.0,1.0,8.996149203389747e-12
bidisperse_a0.005_sr1.500_N1000_L12_T100000_seed3.npz,bidisperse,3,0.005,1.5,1.0,0.34990240813052503,0.7717135455393943,0.001984933976674689,0.3779639423256251,0.4266333175890378,0.001147822609250887,1.0,1.0,9.517356262666814e-12
bidisperse_a0.015_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.015,0.6666666666666666,1.0,0.5521952554079687,0.8417690544264895,0.0061321959031441315,0.37180952463989636,0.48413429315914497,0.28022693724537034,9.07843137254902,0.933313725490196,1.3414123677725696e-07
bidisperse_a0.015_sr0.667_N1000_L12_T100000_seed2.npz,bidisperse,2,0.015,0.6666666666666666,1.0,0.5598471322230886,0.8411692881743812,0.0072266949358878,0.3717612161815819,0.49024585445719054,0.27264241564972536,8.627450980392156,0.931843137254902,1.41005518394371e-07
bidisperse_a0.015_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.015,0.6666666666666666,1.0,0.5714246809469894,0.8408108879666383,0.005016079722767016,0.36847123176909824,0.4832470582483778,0.2920336249245174,9.72549019607843,0.9389607843137255,1.509356973780417e-07
bidisperse_a0.01_sr0.667_N1000_L12_T100000_seed1.npz,bidisperse,1,0.01,0.6666666666666666,1.0,0.6059706026967929,0.8434309748084493,0.004193854649281051,0.3598002226804931,0.48593531466501205,0.2983250962620167,13.627450980392156,0.9145098039215687,8.836128742951323e-08
bidisperse_a0.01_sr0.667_N1000_L12_T100000_seed2.npz,bidisperse,2,0.01,0.6666666666666666,1.0,0.6753543499289828,0.8435933525391012,0.0033636556805681688,0.36279979545157937,0.5096103485467577,0.26000937092650656,11.549019607843137,0.9134313725490196,7.006246831590861e-08
bidisperse_a0.01_sr0.667_N1000_L12_T100000_seed3.npz,bidisperse,3,0.01,0.6666666666666666,1.0,0.5453247276963086,0.8411945097009589,0.008733779584101653,0.3636355307189791,0.4972388800561542,0.26470422673464783,10.607843137254902,0.9500000000000001,6.287552788289978e-08
monodisperse_a0.005_sr0.667_N1000_L12_T100000_seed1.npz,monodisperse,1,0.005,0.6666666666666666,1.0,0.795973892041351,0.8787992780450482,0.005769876036033986,0.3966325527219992,0.801356051992986,0.1623116242194394,5.588235294117647,0.6230196078431373,1.2269197006650694e-09
monodisperse_a0.005_sr0.667_N1000_L12_T100000_seed2.npz,monodisperse,2,0.005,0.6666666666666666,1.0,0.8280208285884113,0.8754163410094733,0.0031717489419234917,0.39057216091704205,0.7702392552848966,0.16599372000853768,5.823529411764706,0.33372549019607844,1.1135599563780808e-09
monodisperse_a0.005_sr0.667_N1000_L12_T100000_seed3.npz,monodisperse,3,0.005,0.6666666666666666,1.0,0.8701258126680326,0.8730537104703411,0.0031664527958094033,0.3877409221221601,0.743296375046113,0.1673556182005745,4.019607843137255,0.3714901960784313,1.123302885596936e-09
monodisperse_a0.005_sr0.667_N1000_L12_T100000_seed4.npz,monodisperse,4,0.005,0.6666666666666666,1.0,0.8484645774914966,0.8721069305885364,0.003449645788685327,0.3852468349591706,0.7693172696411996,0.16332553703529826,5.509803921568627,0.6811372549019609,1.339032633318271e-09
monodisperse_a0.005_sr0.667_N1000_L12_T100000_seed5.npz,monodisperse,5,0.005,0.6666666666666666,1.0,0.766598660310611,0.8770837944039215,0.006971807866948014,0.39650644831002135,0.8146081076811034,0.16061681035802453,6.235294117647059,0.2857647058823529,1.1026194953809907e-09
